Item,Price,Response Rate,Nature Of Business,Devivery Location,Year of Establishment,Legal status of Firm,No of Employees,Indiamart member since,PAN,Company Name,Address,Contact Person,Contact Number,Website
Renesola LED Bulb,120,100%,Wholesale Supplier,Secunderabad And Surrounding Areas,2012,Proprietorship Firm,Upto 10 People,May 2014,AEBPB*****,Abhinav Industrial Marketing,"No. 5-2-210/212, Y. Yadireddy Complex",Narendra Bardia,08071678204,www.abhinavindustrialmarketing.com
Item,Price,Response Rate,Nature Of Business,Devivery Location,Year of Establishment,Legal status of Firm,No of Employees,Indiamart member since,PAN,Company Name,Address,Contact Person,Contact Number,Website
"Cool Daylight LED Bulb, 6 W - 10 W",45.5,88%,Manufacturer,All Over India,2012,Private Ltd. Co. Registered under Indian Companies Act 2013,11 to 25 People,Aug 2012,AAICM*****,My Sunlight,Near Chudi Bazar,Nitin Maheshwari,08042952017,www.mysunlight.co.in
"Cool Daylight, Warm White Round LED Bulb 9 Watt, Base Type: B22",240,88%,Exporter,All Over India,1989,Private Ltd. Co. Registered under Indian Companies Act 2013,501 to 1000 People,Oct 2011,AABCV*****,Vivek Bulb Industries Private Limited,"No. 54 & 67, Canal Circular Road",Shailendra Singh,08048704528,www.prakashlighting.com
Renesola LED Bulb,120,100%,Wholesale Supplier,Secunderabad And Surrounding Areas,2012,Proprietorship Firm,Upto 10 People,May 2014,AEBPB*****,Abhinav Industrial Marketing,"No. 5-2-210/212, Y. Yadireddy Complex",Narendra Bardia,08071678204,www.abhinavindustrialmarketing.com
Item,Price,Response Rate,Nature Of Business,Devivery Location,Year of Establishment,Legal status of Firm,No of Employees,Indiamart member since,PAN,Company Name,Address,Contact Person,Contact Number,Website
Renesola LED Bulb,120,100%,Wholesale Supplier,Secunderabad And Surrounding Areas,2012,Proprietorship Firm,Upto 10 People,May 2014,AEBPB*****,Abhinav Industrial Marketing,"No. 5-2-210/212, Y. Yadireddy Complex",Narendra Bardia,08071678204,www.abhinavindustrialmarketing.com
Item,Price,Response Rate,Nature Of Business,Devivery Location,Year of Establishment,Legal status of Firm,No of Employees,Indiamart member since,PAN,Company Name,Address,Contact Person,Contact Number,Website
Renesola LED Bulb,120,100%,Wholesale Supplier,Secunderabad And Surrounding Areas,2012,Proprietorship Firm,Upto 10 People,May 2014,AEBPB*****,Abhinav Industrial Marketing,"No. 5-2-210/212, Y. Yadireddy Complex",Narendra Bardia,08071678204,www.abhinavindustrialmarketing.com
